polica_sifra,polica_naziv,tip
D44,Magacin,SHELF
D44,Magacin,SHELF
D45,Magacin,SHELF
D45,Magacin,SHELF
D46,Magacin,SHELF
D46,Magacin,SHELF
D47,Magacin,SHELF
D47,Magacin,SHELF
D48,Magacin,SHELF
D48,Magacin,SHELF
D49,Magacin,SHELF
D49,Magacin,SHELF
D5,Proizvodnja,SHELF
D5,Magacin,SHELF
D5,Proizvodnja,SHELF
D5,Magacin,SHELF
D50,Magacin,SHELF
D50,Magacin,SHELF
D51,Magacin,SHELF
D52,Magacin,SHELF
D53,Magacin,SHELF
D54,Magacin,SHELF
D55,Magacin,SHELF
D56,Magacin,SHELF
D57,Magacin,SHELF
D58,Magacin,SHELF
D59,Magacin,SHELF
D6,Magacin,SHELF
D6,Proizvodnja,SHELF
D6,Magacin,SHELF
D60,Magacin,SHELF
D61,Magacin,SHELF
D62,Magacin,SHELF
D63,Magacin,SHELF
D64,Magacin,SHELF
D65,Magacin,SHELF
D66,Magacin,SHELF
D67,Magacin,SHELF
D68,Magacin,SHELF
D69,Magacin,SHELF
D7,Magacin,SHELF
D7,Magacin,SHELF
D7,Proizvodnja,SHELF
D70,Magacin,SHELF
D71,Magacin,SHELF
D72,Magacin,SHELF
D73,Magacin,SHELF
D74,Magacin,SHELF
D75,Magacin,SHELF
D76,Magacin,SHELF
D77,Magacin,SHELF
D78,Magacin,SHELF
D79,Magacin,SHELF
D8,Magacin,SHELF
D8,Magacin,SHELF
D8,Proizvodnja,SHELF
D80,Magacin,SHELF
D9,Magacin,SHELF
D9,Magacin,SHELF
D9,Proizvodnja,SHELF
F1,Magacin,SHELF
F1,Proizvodnja,SHELF
F1,Proizvodnja,SHELF
F1,Magacin,SHELF
F10,Magacin,SHELF
F10,Proizvodnja,SHELF
F10,Magacin,SHELF
F11,Proizvodnja,SHELF
F11,Magacin,SHELF
F11,Magacin,SHELF
F12,Magacin,SHELF
F12,Proizvodnja,SHELF
F12,Magacin,SHELF
F13,Magacin,SHELF
F13,Magacin,SHELF
F13,Proizvodnja,SHELF
F14,Proizvodnja,SHELF
F14,Magacin,SHELF
F14,Magacin,SHELF
F15,Proizvodnja,SHELF
F15,Magacin,SHELF
F15,Magacin,SHELF
F16,Magacin,SHELF
F16,Magacin,SHELF
F16,Proizvodnja,SHELF
F17,Magacin,SHELF
F17,Magacin,SHELF
F17,Proizvodnja,SHELF
F18,Magacin,SHELF
F18,Magacin,SHELF
F18,Proizvodnja,SHELF
F19,Magacin,SHELF
F19,Magacin,SHELF
F19,Proizvodnja,SHELF
F2,Magacin,SHELF
F2,Proizvodnja,SHELF
F2,Proizvodnja,SHELF
F2,Magacin,SHELF
F20,Proizvodnja,SHELF
F20,Magacin,SHELF
F20,Magacin,SHELF
F21,Magacin,SHELF
F21,Magacin,SHELF
F21,Proizvodnja,SHELF
F22,Magacin,SHELF
F22,Magacin,SHELF
F22,Proizvodnja,SHELF
F23,Magacin,SHELF
F23,Magacin,SHELF
F23,Proizvodnja,SHELF
F24,Magacin,SHELF
F24,Magacin,SHELF
F24,Proizvodnja,SHELF
F25,Magacin,SHELF
F25,Proizvodnja,SHELF
F25,Magacin,SHELF
F26,Magacin,SHELF
F26,Proizvodnja,SHELF
F26,Magacin,SHELF
F27,Proizvodnja,SHELF
F27,Magacin,SHELF
F27,Magacin,SHELF
F28,Magacin,SHELF
F28,Proizvodnja,SHELF
F28,Magacin,SHELF
F29,Magacin,SHELF
F29,Magacin,SHELF
F29,Proizvodnja,SHELF
F3,Magacin,SHELF
F3,Proizvodnja,SHELF
F3,Proizvodnja,SHELF
F3,Magacin,SHELF
F30,Proizvodnja,SHELF
F30,Magacin,SHELF
F30,Magacin,SHELF
F31,Magacin,SHELF
F31,Magacin,SHELF
F32,Magacin,SHELF
F32,Magacin,SHELF
F33,Magacin,SHELF
F33,Magacin,SHELF
F34,Magacin,SHELF
F34,Magacin,SHELF
F35,Magacin,SHELF
F35,Magacin,SHELF
F36,Magacin,SHELF
F36,Magacin,SHELF
F37,Magacin,SHELF
F37,Magacin,SHELF
F38,Magacin,SHELF
F38,Magacin,SHELF
F39,Magacin,SHELF
F39,Magacin,SHELF
F4,Magacin,SHELF
F4,Proizvodnja,SHELF
F4,Proizvodnja,SHELF
F4,Magacin,SHELF
F40,Magacin,SHELF
F40,Magacin,SHELF
F41,Magacin,SHELF
F41,Magacin,SHELF
F42,Magacin,SHELF
F42,Magacin,SHELF
F43,Magacin,SHELF
F43,Magacin,SHELF
F44,Magacin,SHELF
F44,Magacin,SHELF
F45,Magacin,SHELF
F45,Magacin,SHELF
F46,Magacin,SHELF
F46,Magacin,SHELF
F47,Magacin,SHELF
F47,Magacin,SHELF
F48,Magacin,SHELF
F48,Magacin,SHELF
F49,Magacin,SHELF
F49,Magacin,SHELF
F5,Magacin,SHELF
F5,Proizvodnja,SHELF
F5,Proizvodnja,SHELF
F5,Magacin,SHELF
F50,Magacin,SHELF
F50,Magacin,SHELF
F51,Magacin,SHELF
F52,Magacin,SHELF
F53,Magacin,SHELF
F54,Magacin,SHELF
F55,Magacin,SHELF
F56,Magacin,SHELF
F57,Magacin,SHELF
F58,Magacin,SHELF
F59,Magacin,SHELF
F6,Magacin,SHELF
F6,Magacin,SHELF
F6,Proizvodnja,SHELF
F60,Magacin,SHELF
F61,Magacin,SHELF
F62,Magacin,SHELF
F63,Magacin,SHELF
F64,Magacin,SHELF
F65,Magacin,SHELF
F66,Magacin,SHELF
F67,Magacin,SHELF
F68,Magacin,SHELF
F69,Magacin,SHELF
F7,Magacin,SHELF
F7,Magacin,SHELF
F7,Proizvodnja,SHELF
F70,Magacin,SHELF
F71,Magacin,SHELF
F72,Magacin,SHELF
F73,Magacin,SHELF
F74,Magacin,SHELF
F75,Magacin,SHELF
F76,Magacin,SHELF
F77,Magacin,SHELF
F78,Magacin,SHELF
F79,Magacin,SHELF
F8,Magacin,SHELF
F8,Proizvodnja,SHELF
F8,Magacin,SHELF
F80,Magacin,SHELF
F9,Proizvodnja,SHELF
F9,Magacin,SHELF
F9,Magacin,SHELF
K-A1,FARBANJE,SHELF
K-A2,FARBANJE,SHELF
K-A3,FARBANJE,SHELF
K-A4,FARBANJE,SHELF
K-A5,FARBANJE,SHELF
K-A6,FARBANJE,SHELF
